x,y,z
0.844174, -0.38756, -0.722847
0.841703, -0.385069, -0.722464
0.839213, -0.382568, -0.7221
0.836706, -0.380056, -0.721756
0.834179, -0.377533, -0.721431
0.831635, -0.375, -0.721128
0.829072, -0.372457, -0.720845
0.82649, -0.369904, -0.720584
0.82389, -0.36734, -0.720344
0.821272, -0.364766, -0.720125
0.818635, -0.362182, -0.719929
0.81598, -0.359589, -0.719756
0.813307, -0.356985, -0.719605
0.810615, -0.354371, -0.719478
0.807905, -0.351748, -0.719374
0.805177, -0.349115, -0.719294
0.80243, -0.346472, -0.719238
0.799665, -0.34382, -0.719207
0.796882, -0.341158, -0.719201
0.794081, -0.338487, -0.719221
0.791261, -0.335806, -0.719267
0.788424, -0.333117, -0.719338
0.785568, -0.330418, -0.719437
0.782695, -0.327711, -0.719562
0.779803, -0.324994, -0.719715
0.776894, -0.322269, -0.719895
0.773967, -0.319535, -0.720104
0.771022, -0.316793, -0.720342
0.76806, -0.314043, -0.720609
0.76508, -0.311284, -0.720905
0.762083, -0.308517, -0.721231
0.759069, -0.305742, -0.721588
0.756037, -0.30296, -0.721975
0.752988, -0.30017, -0.722394
0.749922, -0.297373, -0.722845
0.746839, -0.294568, -0.723327
0.74374, -0.291756, -0.723843
0.740624, -0.288938, -0.724391
0.737491, -0.286112, -0.724974
0.734342, -0.28328, -0.72559
0.731177, -0.280442, -0.726241
0.727997, -0.277598, -0.726926
0.7248, -0.274748, -0.727648
0.721587, -0.271892, -0.728405
0.718359, -0.269031, -0.729198
0.715116, -0.266165, -0.730029
0.711858, -0.263294, -0.730897
0.708585, -0.260418, -0.731803
0.705298, -0.257538, -0.732748
0.701996, -0.254653, -0.733731
0.69868, -0.251765, -0.734754
0.69535, -0.248873, -0.735817
0.692007, -0.245978, -0.73692
0.68865, -0.24308, -0.738064
0.685281, -0.24018, -0.73925
0.681898, -0.237277, -0.740477
0.678503, -0.234372, -0.741747
0.675097, -0.231465, -0.74306
0.671678, -0.228557, -0.744416
0.668248, -0.225649, -0.745816
0.664807, -0.222739, -0.747261
0.661355, -0.21983, -0.748751
0.657894, -0.216921, -0.750286
0.654422, -0.214012, -0.751867
0.650941, -0.211104, -0.753494
0.64745, -0.208198, -0.755169
0.643951, -0.205294, -0.75689
0.640444, -0.202392, -0.75866
0.63693, -0.199493, -0.760478
0.633408, -0.196598, -0.762344
0.629879, -0.193706, -0.76426
0.626344, -0.190818, -0.766226
0.622804, -0.187935, -0.768241
0.619258, -0.185057, -0.770308
0.615708, -0.182185, -0.772425
0.612153, -0.179319, -0.774593
0.608596, -0.17646, -0.776813
0.605035, -0.173609, -0.779086
0.601472, -0.170765, -0.78141
0.597908, -0.16793, -0.783788
0.594342, -0.165104, -0.786219
0.590777, -0.162288, -0.788703
0.587211, -0.159482, -0.791242
0.583647, -0.156687, -0.793834
0.580084, -0.153903, -0.796481
0.576524, -0.151131, -0.799182
0.572967, -0.148373, -0.801939
0.569414, -0.145627, -0.80475
0.565865, -0.142896, -0.807617
0.562322, -0.140179, -0.810539
0.558785, -0.137478, -0.813517
0.555255, -0.134793, -0.816551
0.551733, -0.132124, -0.819641
0.54822, -0.129473, -0.822786
0.544715, -0.126841, -0.825988
0.541222, -0.124226, -0.829246
0.537739, -0.121632, -0.83256
0.534268, -0.119057, -0.835929
0.53081, -0.116504, -0.839355
0.527366, -0.113972, -0.842837
0.523936, -0.111462, -0.846374
0.520521, -0.108975, -0.849967
0.517123, -0.106512, -0.853615
0.513743, -0.104073, -0.857319
0.51038, -0.10166, -0.861078
0.507036, -0.0992719, -0.864891
0.503712, -0.0969105, -0.868759
0.500409, -0.0945764, -0.872681
0.497128, -0.0922701, -0.876656
0.493869, -0.0899923, -0.880685
0.490634, -0.0877437, -0.884767
0.487423, -0.0855249, -0.888901
0.484237, -0.0833367, -0.893087
0.481077, -0.0811796, -0.897324
0.477945, -0.0790544, -0.901612
0.47484, -0.0769615, -0.905951
0.471764, -0.0749016, -0.910338
0.468718, -0.0728754, -0.914775
0.465702, -0.0708833, -0.91926
0.462718, -0.068926, -0.923792
0.459765, -0.067004, -0.928371
0.456845, -0.0651179, -0.932995
0.453959, -0.0632681, -0.937665
0.451108, -0.0614552, -0.942379
0.448291, -0.0596797, -0.947136
0.445511, -0.0579419, -0.951936
0.442767, -0.0562425, -0.956777
0.440061, -0.0545817, -0.961659
0.437392, -0.05296, -0.96658
0.434762, -0.0513778, -0.97154
0.432172, -0.0498354, -0.976537
0.429621, -0.0483332, -0.981571
0.427111, -0.0468715, -0.98664
0.424642, -0.0454506, -0.991744
0.422214, -0.0440707, -0.996881
0.419829, -0.0427322, -1.00205
0.417486, -0.0414352, -1.00725
0.415187, -0.04018, -1.01248
0.41293, -0.0389666, -1.01774
0.410718, -0.0377954, -1.02303
0.40855, -0.0366664, -1.02834
0.406427, -0.0355797, -1.03368
0.404349, -0.0345355, -1.03904
0.402316, -0.0335338, -1.04442
0.400329, -0.0325745, -1.04983
0.398387, -0.0316579, -1.05526
0.396492, -0.0307838, -1.06071
0.394643, -0.0299523, -1.06617
0.39284, -0.0291632, -1.07165
0.391084, -0.0284166, -1.07715
0.389375, -0.0277124, -1.08267
0.387712, -0.0270504, -1.08819
0.386097, -0.0264305, -1.09373
0.384528, -0.0258526, -1.09928
0.383007, -0.0253166, -1.10484
0.381532, -0.0248222, -1.11041
0.380105, -0.0243693, -1.11599
0.378724, -0.0239577, -1.12158
0.37739, -0.023587, -1.12717
0.376103, -0.0232572, -1.13276
0.374863, -0.0229679, -1.13836
0.373669, -0.0227188, -1.14397
0.372522, -0.0225097, -1.14957
0.371421, -0.0223403, -1.15517
0.370366, -0.0222103, -1.16078
0.369357, -0.0221193, -1.16638
0.368394, -0.0220671, -1.17198
0.367476, -0.0220532, -1.17758
0.366603, -0.0220773, -1.18317
0.365775, -0.0221391, -1.18876
0.364992, -0.0222382, -1.19434
0.364254, -0.0223743, -1.19991
0.363559, -0.0225468, -1.20548
0.362908, -0.0227555, -1.21104
0.362301, -0.0229999, -1.21659
0.361737, -0.0232797, -1.22213
0.361215, -0.0235944, -1.22766
0.360736, -0.0239437, -1.23318
0.360299, -0.024327, -1.23868
0.359904, -0.024744, -1.24418
0.35955, -0.0251943, -1.24965
0.359237, -0.0256773, -1.25512
0.358965, -0.0261928, -1.26057
0.358733, -0.0267403, -1.266
0.35854, -0.0273192, -1.27142
0.358387, -0.0279293, -1.27682
0.358273, -0.02857, -1.28221
0.358197, -0.0292409, -1.28757
0.35816, -0.0299417, -1.29292
0.35816, -0.0306718, -1.29825
0.358197, -0.0314307, -1.30356
0.358272, -0.0322182, -1.30885
0.358382, -0.0330337, -1.31412
0.358529, -0.0338769, -1.31937
0.358711, -0.0347472, -1.3246
0.358929, -0.0356442, -1.3298
0.359181, -0.0365676, -1.33499
0.359467, -0.0375169, -1.34015
0.359787, -0.0384917, -1.34529
0.36014, -0.0394915, -1.3504
0.360527, -0.040516, -1.3555
